log_phistar     -6.66   0.28    -6.20   0.15   -4.825   0.060
log_Lstar0      46.64   0.19    45.99   0.10   13.036   0.043
k_L1             0.00   0.00     0.00   0.00    0.632   0.077
k_L2             0.00   0.00     0.00   0.00  -11.76    0.38
k_L3             0.00   0.00     0.00   0.00  -14.25    0.80
gamma1_0         0.858  0.075    0.933  0.045   0.417   0.055
k_gamma1         0.00   0.00     0.00   0.00   -0.623   0.132
gamma2_0         2.09   0.20     2.20   0.14    2.174   0.055
k_gamma2_1       0.00   0.00     0.00   0.00    1.460   0.096
k_gamma2_2       0.00   0.00     0.00   0.00   -0.793   0.057
log_Lc          46.0    0.00    46.72   0.05    0.000   0.000
zc_0            1.852   0.068    1.852  0.025   0.000   0.000
alpha            0.0    0.00     0.274  0.025   0.000   0.000
p1_46            4.13   0.29     5.95   0.23    0.000   0.000
p2_46           -2.53   0.46    -1.65   0.21    0.000   0.000
beta_1           0.00   0.00     0.29   0.34    0.000   0.000
beta_2           0.00   0.00    -0.62   0.17    0.000   0.000
