#Redshift	LSSTu	LSSTg	LSSTr	LSSTi	LSSTz	LSSTy	M_B	M_i
        0.01000        14.45619        14.28591        13.81509        13.66004             nan             nan       -18.76893       -19.52140
        0.02000        15.87325        15.71609        15.25243        15.09476             nan             nan       -18.85866       -19.61113
        0.03000        16.66765        16.52296        16.07043        15.89887             nan             nan       -18.94713       -19.69960
        0.04000        17.20820        17.07523        16.65464        16.42877             nan             nan       -19.03437       -19.78684
        0.05000        17.61023        17.48822        17.11900        16.80774             nan             nan       -19.12040       -19.87286
        0.06000        17.92528        17.81294        17.48719        17.09158             nan             nan       -19.20523       -19.95770
        0.07000        18.18100        18.07651        17.79467        17.32594             nan             nan       -19.28890       -20.04137
        0.08000        18.39361        18.29648        18.03701        17.53893             nan             nan       -19.37143       -20.12389
        0.09000        18.57309        18.48439        18.23190        17.73060             nan             nan       -19.45283       -20.20529
        0.10000        18.72667        18.64695        18.39643        17.89893        17.82620             nan       -19.53313       -20.28559
        0.11000        18.85961        18.79055        18.53647        18.04341        17.98233             nan       -19.61234       -20.36481
        0.12000        18.97587        18.91998        18.65574        18.16786        18.11884             nan       -19.69050       -20.44296
        0.13000        19.07826        19.03522        18.75981        18.28195        18.23823             nan       -19.76760       -20.52007
        0.14000        19.16861        19.13649        18.85311        18.38370        18.34323             nan       -19.84369       -20.59615
        0.15000        19.24800        19.22588        18.93742        18.48091        18.43573             nan       -19.91876       -20.67123
        0.16000        19.31793        19.30431        19.01478        18.60261        18.51818             nan       -19.99284       -20.74531
        0.17000        19.37939        19.37224        19.08748        18.64528        18.59254             nan       -20.06595       -20.81842
        0.18000        19.43345        19.43179        19.15404        18.70010        18.66087             nan       -20.13810       -20.89057
        0.19000        19.48166        19.48541        19.21370        18.75930        18.72399             nan       -20.20932       -20.96178
        0.20000        19.52549        19.53410        19.26667        18.81667        18.78122             nan       -20.27960       -21.03207
        0.21000        19.56580        19.57813        19.31346        18.87190        18.83158             nan       -20.34898       -21.10144
        0.22000        19.60283        19.61754        19.35542        18.92671        18.87277             nan       -20.41746       -21.16992
        0.23000        19.63672        19.65261        19.39343        18.99454        18.88916             nan       -20.48506       -21.23753
        0.24000        19.66733        19.68403        19.42788        19.08501        18.87895             nan       -20.55180       -21.30426
        0.25000        19.69460        19.71257        19.45866        19.17633        18.86147             nan       -20.61768       -21.37014
        0.26000        19.71852        19.73833        19.48657        19.26050        18.84353             nan       -20.68272       -21.43519
        0.27000        19.73916        19.76140        19.51220        19.32354        18.84403             nan       -20.74694       -21.49941
        0.28000        19.75692        19.78209        19.53610        19.36430        18.86297             nan       -20.81035       -21.56282
        0.29000        19.77233        19.80043        19.55925        19.39697        18.88595        18.96456       -20.87296       -21.62542
        0.30000        19.78581        19.81614        19.58170        19.42541        18.90943        18.99010       -20.93478       -21.68724
        0.31000        19.79773        19.82922        19.60346        19.44729        18.93257        19.01334       -20.99583       -21.74829
        0.32000        19.80836        19.84031        19.62400        19.46700        18.95574        19.03579       -21.05611       -21.80857
        0.33000        19.81821        19.84993        19.64263        19.48646        18.97820        19.05702       -21.11564       -21.86810
        0.34000        19.82783        19.85813        19.65888        19.50510        18.99962        19.07788       -21.17443       -21.92690
        0.35000        19.83774        19.86496        19.67330        19.52296        19.01975        19.09678       -21.23249       -21.98496
        0.36000        19.84893        19.87054        19.68794        19.53838        19.04444        19.11191       -21.28984       -22.04230
        0.37000        19.86190        19.87482        19.70372        19.55156        19.07644        19.12149       -21.34647       -22.09894
        0.38000        19.87630        19.87757        19.71960        19.56220        19.10005        19.12265       -21.40241       -22.15487
        0.39000        19.89129        19.87875        19.73616        19.56900        19.14312        19.09476       -21.45766       -22.21012
        0.40000        19.90664        19.87884        19.75468        19.57179        19.20383        19.02541       -21.51223       -22.26470
        0.41000        19.92213        19.87796        19.77430        19.57190        19.27442        18.96448       -21.56614       -22.31860
        0.42000        19.93750        19.87621        19.79153        19.57178        19.34680        18.95751       -21.61939       -22.37185
        0.43000        19.95230        19.87374        19.80547        19.57055        19.39099        18.94200       -21.67199       -22.42445
        0.44000        19.96581        19.87076        19.81742        19.56988        19.41403        18.94550       -21.72395       -22.47641
        0.45000        19.97680        19.86757        19.82563        19.57037        19.43100        18.94956       -21.77527       -22.52774
        0.46000        19.98530        19.86418        19.83002        19.57301        19.44551        18.95334       -21.82598       -22.57845
        0.47000        19.99121        19.86069        19.83290        19.57680        19.45822        18.95653       -21.87608       -22.62854
        0.48000        19.99565        19.85752        19.83528        19.58013        19.46938        18.96791       -21.92556       -22.67803
        0.49000        19.99927        19.85493        19.83751        19.58060        19.47874        18.98955       -21.97446       -22.72692
        0.50000        20.00244        19.85269        19.83961        19.58046        19.48756        19.00933       -22.02276       -22.77523
        0.51000        20.00546        19.85043        19.84153        19.58072        19.49596        19.03397       -22.07048       -22.82295
        0.52000        20.00855        19.84799        19.84302        19.58977        19.50337        19.06125       -22.11764       -22.87010
        0.53000        20.01186        19.84527        19.84374        19.58581        19.50961        19.09016       -22.16422       -22.91669
        0.54000        20.01533        19.84240        19.84326        19.58780        19.51402        19.11910       -22.21025       -22.96271
        0.55000        20.01891        19.83941        19.84180        19.59038        19.51773        19.14638       -22.25573       -23.00819
        0.56000        20.02251        19.83630        19.84007        19.59717        19.52179        19.17328       -22.30066       -23.05313
        0.57000        20.02611        19.83309        19.83863        19.60199        19.52622        19.20090       -22.34506       -23.09753
        0.58000        20.02974        19.82985        19.83746        19.59499        19.53094        19.22835       -22.38893       -23.14140
        0.59000        20.03335        19.82665        19.83532        19.58921        19.53556        19.25505       -22.43228       -23.18475
        0.60000        20.03681        19.82342        19.83212        19.58528        19.53892        19.27845       -22.47512       -23.22758
        0.61000        20.04007        19.82015        19.82829        19.58389        19.53955        19.29992       -22.51744       -23.26991
