#Redshift	LSSTu	LSSTg	LSSTr	LSSTi	LSSTz	LSSTy	M_B	M_i
        0.01000        14.43972        14.26945        13.79863        13.64357             nan             nan       -18.78540       -19.53786
        0.02000        15.85693        15.69977        15.23611        15.07845             nan             nan       -18.87498       -19.62745
        0.03000        16.65148        16.50680        16.05426        15.88271             nan             nan       -18.96330       -19.71576
        0.04000        17.19221        17.05923        16.63864        16.41277             nan             nan       -19.05037       -19.80283
        0.05000        17.59441        17.47240        17.10318        16.79192             nan             nan       -19.13622       -19.88868
        0.06000        17.90965        17.79731        17.47155        17.07594             nan             nan       -19.22087       -19.97333
        0.07000        18.16556        18.06107        17.77922        17.31050             nan             nan       -19.30434       -20.05681
        0.08000        18.37837        18.28124        18.02177        17.52369             nan             nan       -19.38667       -20.13913
        0.09000        18.55807        18.46936        18.21687        17.71557             nan             nan       -19.46786       -20.22032
        0.10000        18.71187        18.63215        18.38162        17.88413        17.81140             nan       -19.54793       -20.30040
        0.11000        18.84503        18.77597        18.52189        18.02883        17.96775             nan       -19.62692       -20.37938
        0.12000        18.96154        18.90564        18.64140        18.15352        18.10450             nan       -19.70483       -20.45730
        0.13000        19.06417        19.02113        18.74572        18.26786        18.22414             nan       -19.78169       -20.53416
        0.14000        19.15478        19.12266        18.83928        18.36986        18.32940             nan       -19.85752       -20.60999
        0.15000        19.23443        19.21231        18.92385        18.46734        18.42216             nan       -19.93233       -20.68479
        0.16000        19.30463        19.29101        19.00149        18.58931        18.50488             nan       -20.00614       -20.75860
        0.17000        19.36638        19.35923        19.07447        18.63227        18.57953             nan       -20.07897       -20.83143
        0.18000        19.42073        19.41907        19.14132        18.68737        18.64814             nan       -20.15083       -20.90329
        0.19000        19.46923        19.47298        19.20128        18.74687        18.71156             nan       -20.22174       -20.97421
        0.20000        19.51337        19.52197        19.25455        18.80455        18.76909             nan       -20.29172       -21.04419
        0.21000        19.55399        19.56632        19.30165        18.86009        18.81977             nan       -20.36079       -21.11325
        0.22000        19.59134        19.60606        19.34393        18.91522        18.86128             nan       -20.42895       -21.18141
        0.23000        19.62556        19.64146        19.38228        18.98339        18.87800             nan       -20.49622       -21.24868
        0.24000        19.65651        19.67320        19.41706        19.07419        18.86813             nan       -20.56262       -21.31508
        0.25000        19.68412        19.70209        19.44818        19.16585        18.85099             nan       -20.62816       -21.38062
        0.26000        19.70840        19.72820        19.47644        19.25037        18.83340             nan       -20.69285       -21.44531
        0.27000        19.72939        19.75164        19.50243        19.31377        18.83427             nan       -20.75671       -21.50917
        0.28000        19.74752        19.77270        19.52670        19.35490        18.85357             nan       -20.81975       -21.57221
        0.29000        19.76331        19.79141        19.55022        19.38794        18.87693        18.95553       -20.88198       -21.63445
        0.30000        19.77716        19.80749        19.57305        19.41676        18.90079        18.98145       -20.94342       -21.69589
        0.31000        19.78947        19.82096        19.59520        19.43903        18.92431        19.00508       -21.00408       -21.75655
        0.32000        19.80049        19.83245        19.61614        19.45914        18.94787        19.02793       -21.06397       -21.81644
        0.33000        19.81075        19.84247        19.63517        19.47900        18.97074        19.04956       -21.12310       -21.87556
        0.34000        19.82078        19.85108        19.65183        19.49805        18.99256        19.07082       -21.18148       -21.93395
        0.35000        19.83110        19.85832        19.66667        19.51632        19.01311        19.09015       -21.23913       -21.99159
        0.36000        19.84271        19.86433        19.68172        19.53217        19.03822        19.10569       -21.29605       -22.04851
        0.37000        19.85612        19.86903        19.69794        19.54577        19.07066        19.11571       -21.35226       -22.10472
        0.38000        19.87095        19.87222        19.71425        19.55685        19.09470        19.11730       -21.40776       -22.16022
        0.39000        19.88639        19.87384        19.73125        19.56409        19.13821        19.08985       -21.46257       -22.21503
        0.40000        19.90217        19.87438        19.75022        19.56733        19.19937        19.02095       -21.51670       -22.26916
        0.41000        19.91813        19.87395        19.77030        19.56789        19.27041        18.96048       -21.57015       -22.32261
        0.42000        19.93395        19.87267        19.78798        19.56823        19.34326        18.95396       -21.62293       -22.37540
        0.43000        19.94922        19.87066        19.80239        19.56747        19.38791        18.93892       -21.67507       -22.42753
        0.44000        19.96320        19.86815        19.81481        19.56727        19.41142        18.94289       -21.72655       -22.47902
        0.45000        19.97467        19.86544        19.82350        19.56824        19.42887        18.94743       -21.77740       -22.52987
        0.46000        19.98366        19.86253        19.82837        19.57136        19.44387        18.95170       -21.82763       -22.58009
        0.47000        19.99006        19.85953        19.83175        19.57564        19.45706        18.95537       -21.87723       -22.62970
        0.48000        19.99499        19.85686        19.83462        19.57947        19.46872        18.96725       -21.92622       -22.67869
        0.49000        19.99911        19.85477        19.83735        19.58044        19.47858        18.98939       -21.97462       -22.72708
        0.50000        20.00279        19.85303        19.83996        19.58081        19.48791        19.00968       -22.02241       -22.77488
        0.51000        20.00632        19.85130        19.84239        19.58158        19.49682        19.03483       -22.06962       -22.82209
        0.52000        20.00993        19.84937        19.84440        19.59115        19.50475        19.06263       -22.11626       -22.86872
        0.53000        20.01376        19.84717        19.84565        19.58771        19.51152        19.09206       -22.16232       -22.91478
        0.54000        20.01776        19.84483        19.84569        19.59023        19.51645        19.12153       -22.20782       -22.96028
        0.55000        20.02188        19.84238        19.84477        19.59334        19.52070        19.14934       -22.25276       -23.00523
        0.56000        20.02602        19.83981        19.84357        19.60068        19.52529        19.17678       -22.29716       -23.04962
        0.57000        20.03016        19.83714        19.84268        19.60604        19.53027        19.20495       -22.34101       -23.09348
