#Redshift	LSSTu	LSSTg	LSSTr	LSSTi	LSSTz	LSSTy	M_B	M_i
        0.01000        10.69291        10.89349        10.73702        10.57425        10.94380         9.53025       -21.79021       -22.66156
        0.02000        12.17613        12.37842        12.22398        12.06072        12.43165        11.01651       -21.81569       -22.68704
        0.03000        13.03393        13.23796        13.08546        12.92179        13.29428        11.87732       -21.84171       -22.71306
        0.04000        13.63528        13.84106        13.69040        13.52649        13.90068        12.48162       -21.86824       -22.73958
        0.05000        14.09589        14.30340        14.15446        13.99052        14.36641        12.94508       -21.89523       -22.76658
        0.06000        14.46732        14.67650        14.52918        14.36546        14.74289        13.31924       -21.92265       -22.79400
        0.07000        14.77712        14.98786        14.84207        14.67886        15.05754        13.63163       -21.95049       -22.82184
        0.08000        15.04177        15.25390        15.10956        14.94710        15.32673        13.89872       -21.97869       -22.85004
        0.09000        15.27189        15.48523        15.34226        15.18075        15.56106        14.13113       -22.00725       -22.87860
        0.10000        15.47473        15.68907        15.54743        15.38700        15.76783        14.33614       -22.03612       -22.90747
        0.11000        15.65549        15.87061        15.73024        15.57102        15.95231        14.51892       -22.06530       -22.93664
        0.12000        15.81800        16.03367        15.89454        15.73658        16.11836        14.68332       -22.09474       -22.96608
        0.13000        15.96517        16.18117        16.04323        15.88662        16.26888        14.83226       -22.12442       -22.99577
        0.14000        16.09930        16.31537        16.17860        16.02346        16.40609        14.96802       -22.15434       -23.02568
        0.15000        16.22219        16.43809        16.30245        16.14893        16.53175        15.09239       -22.18445       -23.05580
        0.16000        16.33531        16.55078        16.41629        16.26448        16.64726        15.20684       -22.21475       -23.08610
        0.17000        16.43987        16.65463        16.52133        16.37129        16.75382        15.31254       -22.24522       -23.11656
        0.18000        16.53685        16.75063        16.61858        16.47033        16.85249        15.41044       -22.27583       -23.14717
        0.19000        16.62709        16.83964        16.70888        16.56238        16.94423        15.50136       -22.30656       -23.17791
        0.20000        16.71128        16.92236        16.79296        16.64813        17.02981        15.58599       -22.33741       -23.20876
        0.21000        16.79001        16.99939        16.87140        16.72816        17.10988        15.66495       -22.36836       -23.23971
        0.22000        16.86380        17.07128        16.94475        16.80297        17.18499        15.73874       -22.39938       -23.27073
        0.23000        16.93310        17.13849        17.01344        16.87303        17.25557        15.80786       -22.43047       -23.30182
        0.24000        16.99830        17.20142        17.07789        16.93871        17.32194        15.87272       -22.46162       -23.33296
        0.25000        17.05974        17.26044        17.13843        17.00038        17.38442        15.93366       -22.49280       -23.36415
        0.26000        17.11772        17.31586        17.19539        17.05835        17.44332        15.99102       -22.52401       -23.39535
        0.27000        17.17253        17.36796        17.24903        17.11290        17.49892        16.04508       -22.55523       -23.42657
        0.28000        17.22441        17.41700        17.29960        17.16430        17.55147        16.09607       -22.58645       -23.45780
        0.29000        17.27357        17.46320        17.34733        17.21278        17.60127        16.14420       -22.61766       -23.48901
        0.30000        17.32023        17.50675        17.39242        17.25851        17.64854        16.18966       -22.64886       -23.52021
        0.31000        17.36457        17.54785        17.43504        17.30168        17.69352        16.23263       -22.68003       -23.55138
        0.32000        17.40675        17.58666        17.47535        17.34245        17.73634        16.27327       -22.71116       -23.58250
        0.33000        17.44694        17.62334        17.51349        17.38098        17.77716        16.31174       -22.74224       -23.61359
        0.34000        17.48527        17.65805        17.54959        17.41741        17.81607        16.34818       -22.77326       -23.64461
        0.35000        17.52187        17.69091        17.58376        17.45188        17.85316        16.38274       -22.80422       -23.67557
        0.36000        17.55685        17.72205        17.61611        17.48448        17.88849        16.41553       -22.83511       -23.70646
        0.37000        17.59030        17.75159        17.64674        17.51537        17.92209        16.44667       -22.86592       -23.73726
        0.38000        17.62229        17.77962        17.67574        17.54466        17.95400        16.47627       -22.89664       -23.76799
        0.39000        17.65291        17.80623        17.70321        17.57245        17.98428        16.50440       -22.92726       -23.79861
        0.40000        17.68220        17.83150        17.72926        17.59885        18.01299        16.53116       -22.95779       -23.82914
        0.41000        17.71024        17.85551        17.75397        17.62394        18.04020        16.55662       -22.98821       -23.85956
        0.42000        17.73705        17.87831        17.77742        17.64778        18.06599        16.58087       -23.01852       -23.88987
        0.43000        17.76268        17.89999        17.79968        17.67045        18.09043        16.60396       -23.04871       -23.92006
