#Redshift	LSSTu	LSSTg	LSSTr	LSSTi	LSSTz	LSSTy	M_1450	M_i
        0.01000        13.88296        14.08353        13.92706        13.76429        14.13384        12.72029       -18.34773       -19.47162
        0.02000        15.30207        15.50436        15.34992        15.18666        15.55759        14.14245       -18.43731       -19.56120
        0.03000        16.09757        16.30160        16.14910        15.98543        16.35793        14.94096       -18.52563       -19.64951
        0.04000        16.63838        16.84416        16.69349        16.52958        16.90378        15.48472       -18.61270       -19.73658
        0.05000        17.04013        17.24764        17.09870        16.93476        17.31065        15.88932       -18.69855       -19.82243
        0.06000        17.35434        17.56351        17.41619        17.25247        17.62991        16.20626       -18.78320       -19.90708
        0.07000        17.60850        17.81923        17.67344        17.51023        17.88892        16.46300       -18.86667       -19.99056
        0.08000        17.81903        18.03116        17.88682        17.72436        18.10399        16.67598       -18.94899       -20.07288
        0.09000        17.99651        18.20985        18.06689        17.90537        18.28568        16.85576       -19.03018       -20.15407
        0.10000        18.14816        18.36250        18.22085        18.06043        18.44126        17.00956       -19.11026       -20.23415
        0.11000        18.27910        18.49422        18.35385        18.19463        18.57592        17.14253       -19.18924       -20.31313
        0.12000        18.39313        18.60880        18.46967        18.31171        18.69349        17.25845       -19.26716       -20.39105
        0.13000        18.49314        18.70913        18.57119        18.41458        18.79684        17.36023       -19.34402       -20.46791
        0.14000        18.58135        18.79742        18.66065        18.50551        18.88814        17.45007       -19.41984       -20.54373
        0.15000        18.65955        18.87545        18.73981        18.58629        18.96911        17.52975       -19.49465       -20.61854
        0.16000        18.72916        18.94462        18.81014        18.65832        19.04111        17.60069       -19.56846       -20.69235
        0.17000        18.79135        19.00611        18.87281        18.72277        19.10530        17.66403       -19.64129       -20.76518
        0.18000        18.84708        19.06087        18.92881        18.78056        19.16272        17.72067       -19.71315       -20.83704
        0.19000        18.89715        19.10970        18.97894        18.83244        19.21428        17.77141       -19.78406       -20.90795
        0.20000        18.94220        19.15328        19.02388        18.87905        19.26073        17.81692       -19.85404       -20.97793
        0.21000        18.98282        19.19220        19.06421        18.92097        19.30269        17.85775       -19.92311       -21.04699
        0.22000        19.01948        19.22696        19.10042        18.95865        19.34067        17.89442       -19.99127       -21.11515
