#Redshift	LSSTu	LSSTg	LSSTr	LSSTi	LSSTz	LSSTy	M_B	M_i
        0.01000        11.50507        11.33479        10.86398        10.70892             nan             nan       -21.79021       -22.54268
        0.02000        12.98624        12.82908        12.36542        12.20776             nan             nan       -21.81569       -22.56816
        0.03000        13.84295        13.69827        13.24573        13.07418             nan             nan       -21.84171       -22.59418
        0.04000        14.44409        14.31111        13.89052        13.66465             nan             nan       -21.86824       -22.62070
        0.05000        14.90501        14.78300        14.41378        14.10252             nan             nan       -21.89523       -22.64769
        0.06000        15.27733        15.16499        14.83924        14.44363             nan             nan       -21.92265       -22.67512
        0.07000        15.58875        15.48426        15.20242        14.73369             nan             nan       -21.95049       -22.70295
        0.08000        15.85554        15.75841        15.49894        15.00086             nan             nan       -21.97869       -22.73116
        0.09000        16.08773        15.99903        15.74654        15.24524             nan             nan       -22.00725       -22.75971
        0.10000        16.29260        16.21288        15.96235        15.46486        15.39213             nan       -22.03612       -22.78859
        0.11000        16.47544        16.40638        16.15230        15.65924        15.59816             nan       -22.06530       -22.81776
        0.12000        16.64029        16.58439        16.32015        15.83227        15.78325             nan       -22.09474       -22.84720
        0.13000        16.78995        16.74691        16.47151        15.99365        15.94993             nan       -22.12442       -22.87689
        0.14000        16.92634        16.89422        16.61084        16.14143        16.10096             nan       -22.15434       -22.90680
        0.15000        17.05055        17.02843        16.73997        16.28346        16.23828             nan       -22.18445       -22.93692
        0.16000        17.16413        17.15051        16.86098        16.44881        16.36438             nan       -22.21475       -22.96722
        0.17000        17.26810        17.26096        16.97619        16.53400        16.48125             nan       -22.24522       -22.99768
        0.18000        17.36357        17.36191        17.08416        16.63022        16.59099             nan       -22.27583       -23.02829
        0.19000        17.45212        17.45587        17.18416        16.72976        16.69445             nan       -22.30656       -23.05903
        0.20000        17.53526        17.54386        17.27644        16.82644        16.79098             nan       -22.33741       -23.08988
        0.21000        17.61386        17.62619        17.36152        16.91996        16.87964             nan       -22.36836       -23.12082
        0.22000        17.68822        17.70293        17.44081        17.01210        16.95816             nan       -22.39938       -23.15185
        0.23000        17.75848        17.77438        17.51520        17.11631        17.01093             nan       -22.43047       -23.18294
        0.24000        17.82456        17.84126        17.58511        17.24224        17.03618             nan       -22.46162       -23.21408
        0.25000        17.88640        17.90437        17.65046        17.36813        17.05327             nan       -22.49280       -23.24526
        0.26000        17.94404        17.96384        17.71208        17.48601        17.06904             nan       -22.52401       -23.27647
        0.27000        17.99754        18.01979        17.77058        17.58192        17.10242             nan       -22.55523       -23.30769
        0.28000        18.04736        18.07253        17.82654        17.65473        17.15341             nan       -22.58645       -23.33891
        0.29000        18.09404        18.12214        17.88095        17.71867        17.20766        17.28626       -22.61766       -23.37013
        0.30000        18.13801        18.16834        17.93390        17.77761        17.26163        17.34230       -22.64886       -23.40133
        0.31000        18.17969        18.21117        17.98541        17.82925        17.31453        17.39530       -22.68003       -23.43249
        0.32000        18.21934        18.25130        18.03499        17.87799        17.36672        17.44678       -22.71116       -23.46362
        0.33000        18.25752        18.28925        18.08194        17.92577        17.41751        17.49633       -22.74224       -23.49470
        0.34000        18.29479        18.32508        18.12583        17.97205        17.46657        17.54483       -22.77326       -23.52573
        0.35000        18.33168        18.35889        18.16724        18.01689        17.51369        17.59072       -22.80422       -23.55669
        0.36000        18.36920        18.39081        18.20821        18.05865        17.56470        17.63217       -22.83511       -23.58757
        0.37000        18.40788        18.42079        18.24970        18.09753        17.62242        17.66747       -22.86592       -23.61838
        0.38000        18.44737        18.44864        18.29067        18.13327        17.67112        17.69372       -22.89664       -23.64910
        0.39000        18.48687        18.47433        18.33174        18.16458        17.73870        17.69033       -22.92726       -23.67973
        0.40000        18.52614        18.49835        18.37418        18.19130        17.82333        17.64492       -22.95779       -23.71026
        0.41000        18.56501        18.52083        18.41718        18.21477        17.91729        17.60736       -22.98821       -23.74067
        0.42000        18.60320        18.54191        18.45723        18.23748        18.01250        17.62321       -23.01852       -23.77098
        0.43000        18.64029        18.56173        18.49346        18.25854        18.07898        17.62999       -23.04871       -23.80117
        0.44000        18.67558        18.58053        18.52719        18.27964        18.12380        17.65527       -23.07877       -23.83124
        0.45000        18.70784        18.59862        18.55668        18.30141        18.16204        17.68061       -23.10871       -23.86118
        0.46000        18.73714        18.61601        18.58185        18.32484        18.19735        17.70518       -23.13851       -23.89098
        0.47000        18.76336        18.63284        18.60505        18.34895        18.23037        17.72867       -23.16818       -23.92065
        0.48000        18.78765        18.64952        18.62728        18.37213        18.26138        17.75991       -23.19771       -23.95017
        0.49000        18.81067        18.66633        18.64891        18.39200        18.29014        17.80095       -23.22708       -23.97955
        0.50000        18.83281        18.68305        18.66998        18.41083        18.31793        17.83970       -23.25631       -24.00878
        0.51000        18.85437        18.69934        18.69044        18.42963        18.34487        17.88288       -23.28538       -24.03785
        0.52000        18.87559        18.71502        18.71006        18.45680        18.37040        17.92828       -23.31430       -24.06676
        0.53000        18.89662        18.73003        18.72850        18.47057        18.39437        17.97492       -23.34305       -24.09552
        0.54000        18.91742        18.74449        18.74535        18.48989        18.41611        18.02119       -23.37165       -24.12411
        0.55000        18.93795        18.75845        18.76084        18.50941        18.43677        18.06542       -23.40007       -24.15253
        0.56000        18.95812        18.77192        18.77568        18.53278        18.45740        18.10889       -23.42832       -24.18079
        0.57000        18.97794        18.78492        18.79046        18.55382        18.47805        18.15273       -23.45640       -24.20887
        0.58000        18.99743        18.79754        18.80515        18.56268        18.49863        18.19604       -23.48431       -24.23677
        0.59000        19.01655        18.80985        18.81853        18.57242        18.51877        18.23825       -23.51204       -24.26450
        0.60000        19.03520        18.82181        18.83051        18.58367        18.53731        18.27684       -23.53959       -24.29205
        0.61000        19.05331        18.83340        18.84154        18.59714        18.55280        18.31317       -23.56695       -24.31942
        0.62000        19.07086        18.84458        18.85105        18.61432        18.56454        18.34580       -23.59413       -24.34660
        0.63000        19.08787        18.85536        18.85872        18.63510        18.57340        18.37536       -23.62113       -24.37359
        0.64000        19.10434        18.86581        18.86512        18.65682        18.57826        18.40131       -23.64794       -24.40040
        0.65000        19.12025        18.87597        18.87099        18.68062        18.58076        18.42499       -23.67456       -24.42702
        0.66000        19.13548        18.88587        18.87665        18.70550        18.58019        18.44723       -23.70098       -24.45345
        0.67000        19.14978        18.89554        18.88226        18.73137        18.57793        18.46788       -23.72722       -24.47968
