#Redshift	LSSTu	LSSTg	LSSTr	LSSTi	LSSTz	LSSTy	M_1450	M_i
        0.01000        14.33290        14.16262        13.69181        13.53675             nan             nan       -18.33126       -19.71494
        0.02000        15.74982        15.59266        15.12900        14.97134             nan             nan       -18.42099       -19.80467
        0.03000        16.54408        16.39940        15.94686        15.77531             nan             nan       -18.50946       -19.89315
        0.04000        17.08450        16.95153        16.53094        16.30507             nan             nan       -18.59670       -19.98038
        0.05000        17.48640        17.36439        16.99516        16.68390             nan             nan       -18.68272       -20.06640
        0.06000        17.80131        17.68897        17.36321        16.96761             nan             nan       -18.76756       -20.15124
        0.07000        18.05689        17.95240        17.67056        17.20183             nan             nan       -18.85123       -20.23491
        0.08000        18.26936        18.17223        17.91276        17.41468             nan             nan       -18.93375       -20.31743
        0.09000        18.44871        18.36000        18.10751        17.60621             nan             nan       -19.01515       -20.39884
        0.10000        18.60215        18.52243        18.27190        17.77441        17.70168             nan       -19.09545       -20.47913
        0.11000        18.73495        18.66589        18.41181        17.91875        17.85767             nan       -19.17467       -20.55835
        0.12000        18.85108        18.79518        18.53095        18.04306        17.99404             nan       -19.25282       -20.63650
        0.13000        18.95333        18.91029        18.63488        18.15702        18.11330             nan       -19.32993       -20.71361
        0.14000        19.04355        19.01143        18.72804        18.25863        18.21817             nan       -19.40601       -20.78969
        0.15000        19.12280        19.10068        18.81222        18.35571        18.31053             nan       -19.48108       -20.86476
        0.16000        19.19260        19.17897        18.88945        18.47728        18.39285             nan       -19.55517       -20.93885
        0.17000        19.25392        19.24678        18.96202        18.51982        18.46708             nan       -19.62827       -21.01196
        0.18000        19.30785        19.30619        19.02844        18.57450        18.53527             nan       -19.70043       -21.08411
        0.19000        19.35593        19.35968        19.08797        18.63357        18.59826             nan       -19.77164       -21.15532
        0.20000        19.39963        19.40823        19.14081        18.69081        18.65535             nan       -19.84192       -21.22560
        0.21000        19.43980        19.45213        19.18746        18.74590        18.70558             nan       -19.91130       -21.29498
        0.22000        19.47671        19.49142        19.22929        18.80058        18.74664             nan       -19.97978       -21.36346
        0.23000        19.51046        19.52636        19.26718        18.86829        18.76290             nan       -20.04738       -21.43106
        0.24000        19.54094        19.55764        19.30149        18.95862        18.75256             nan       -20.11411       -21.49780
        0.25000        19.56808        19.58605        19.33214        19.04982        18.73495             nan       -20.18000       -21.56368
        0.26000        19.59188        19.61168        19.35993        19.13385        18.71688             nan       -20.24504       -21.62872
        0.27000        19.61239        19.63463        19.38543        19.19676        18.71726             nan       -20.30926       -21.69294
        0.28000        19.63002        19.65519        19.40920        19.23740        18.73607             nan       -20.37267       -21.75635
        0.29000        19.64530        19.67341        19.43222        19.26994        18.75893        18.83753       -20.43528       -21.81896
        0.30000        19.65866        19.68899        19.45455        19.29825        18.78228        18.86294       -20.49710       -21.88078
