#Redshift	LSSTu	LSSTg	LSSTr	LSSTi	LSSTz	LSSTy	M_1450
        0.01000        14.31644        14.14616        13.67534        13.52028        99.00000        99.00000       -18.34773
        0.02000        15.73350        15.57634        15.11268        14.95502        99.00000        99.00000       -18.43731
        0.03000        16.52792        16.38324        15.93070        15.75915        99.00000        99.00000       -18.52563
        0.04000        17.06851        16.93553        16.51494        16.28907        99.00000        99.00000       -18.61270
        0.05000        17.47058        17.34857        16.97934        16.66808        99.00000        99.00000       -18.69855
        0.06000        17.78567        17.67333        17.34758        16.95197        99.00000        99.00000       -18.78320
        0.07000        18.04145        17.93696        17.65511        17.18639        99.00000        99.00000       -18.86667
        0.08000        18.25412        18.15699        17.89752        17.39944        99.00000        99.00000       -18.94899
        0.09000        18.43368        18.34498        18.09249        17.59118        99.00000        99.00000       -19.03018
        0.10000        18.58735        18.50762        18.25710        17.75961        17.68687        99.00000       -19.11026
        0.11000        18.72037        18.65131        18.39724        17.90418        17.84309        99.00000       -19.18924
        0.12000        18.83674        18.78084        18.51661        18.02873        17.97970        99.00000       -19.26716
        0.13000        18.93924        18.89620        18.62079        18.14293        18.09921        99.00000       -19.34402
        0.14000        19.02971        18.99759        18.71421        18.24480        18.20434        99.00000       -19.41984
        0.15000        19.10923        19.08711        18.79865        18.34214        18.29696        99.00000       -19.49465
        0.16000        19.17930        19.16568        18.87615        18.46398        18.37955        99.00000       -19.56846
        0.17000        19.24091        19.23376        18.94900        18.50680        18.45406        99.00000       -19.64129
        0.18000        19.29513        19.29347        19.01572        18.56177        18.52254        99.00000       -19.71315
        0.19000        19.34350        19.34725        19.07554        18.62114        18.58583        99.00000       -19.78406
        0.20000        19.38750        19.39611        19.12869        18.67869        18.64323        99.00000       -19.85404
        0.21000        19.42800        19.44033        19.17565        18.73409        18.69377        99.00000       -19.92311
        0.22000        19.46522        19.47993        19.21780        18.78909        18.73515        99.00000       -19.99127
        0.23000        19.49930        19.51520        19.25602        18.85713        18.75174        99.00000       -20.05854
        0.24000        19.53012        19.54682        19.29067        18.94780        18.74174        99.00000       -20.12494
        0.25000        19.55761        19.57558        19.32166        19.03934        18.72447        99.00000       -20.19047
        0.26000        19.58175        19.60156        19.34980        19.12373        18.70676        99.00000       -20.25517
        0.27000        19.60262        19.62487        19.37566        19.18700        18.70750        99.00000       -20.31903
        0.28000        19.62062        19.64580        19.39980        19.22800        18.72667        99.00000       -20.38207
        0.29000        19.63628        19.66438        19.42320        19.26092        18.74990        18.82851       -20.44430
        0.30000        19.65001        19.68034        19.44590        19.28961        18.77363        18.85430       -20.50574
        0.31000        19.66220        19.69368        19.46792        19.31176        18.79703        18.87780       -20.56640
        0.32000        19.67309        19.70505        19.48874        19.33174        18.82047        18.90053       -20.62629
        0.33000        19.68322        19.71495        19.50765        19.35147        18.84321        18.92203       -20.68541
        0.34000        19.69313        19.72343        19.52418        19.37040        18.86492        18.94318       -20.74380
        0.35000        19.70333        19.73055        19.53890        19.38855        18.88534        18.96238       -20.80144
        0.36000        19.71482        19.73643        19.55383        19.40428        18.91033        18.97780       -20.85836
        0.37000        19.72810        19.74102        19.56992        19.41776        18.94264        18.98769       -20.91457
        0.38000        19.74281        19.74408        19.58612        19.42871        18.96657        18.98917       -20.97007
        0.39000        19.75813        19.74559        19.60300        19.43584        19.00996        18.96160       -21.02488
        0.40000        19.77380        19.74601        19.62185        19.43896        19.07100        18.89258       -21.07901
        0.41000        19.78964        19.74547        19.64181        19.43940        19.14192        18.83199       -21.13246
        0.42000        19.80535        19.74406        19.65938        19.43963        19.21465        18.82536       -21.18525
        0.43000        19.82050        19.74194        19.67367        19.43875        19.25919        18.81020       -21.23738
        0.44000        19.83436        19.73932        19.68598        19.43843        19.28259        18.81405       -21.28887
        0.45000        19.84572        19.73649        19.69455        19.43929        19.29992        18.81848       -21.33972
        0.46000        19.85459        19.73347        19.69930        19.44230        19.31480        18.82263       -21.38994
        0.47000        19.86088        19.73036        19.70257        19.44647        19.32788        18.82619       -21.43954
        0.48000        19.86570        19.72757        19.70533        19.45018        19.33943        18.83796       -21.48854
        0.49000        19.86971        19.72537        19.70795        19.45104        19.34918        18.85999       -21.53693
        0.50000        19.87328        19.72352        19.71045        19.45130        19.35840        18.88017       -21.58472
        0.51000        19.87670        19.72167        19.71277        19.45196        19.36720        18.90521       -21.63193
        0.52000        19.88020        19.71964        19.71467        19.46142        19.37502        18.93290       -21.67857
        0.53000        19.88392        19.71734        19.71581        19.45787        19.38168        18.96223       -21.72463
        0.54000        19.88782        19.71489        19.71575        19.46028        19.38651        18.99159       -21.77013
        0.55000        19.89183        19.71232        19.71472        19.46329        19.39065        19.01929       -21.81507
        0.56000        19.89586        19.70965        19.71342        19.47052        19.39514        19.04663       -21.85947
        0.57000        19.89990        19.70688        19.71241        19.47578        19.40001        19.07469       -21.90332
        0.58000        19.90397        19.70408        19.71169        19.46922        19.40518        19.10259       -21.94665
        0.59000        19.90803        19.70133        19.71001        19.46390        19.41025        19.12973       -21.98944
        0.60000        19.91195        19.69856        19.70726        19.46042        19.41406        19.15359       -22.03171
        0.61000        19.91567        19.69575        19.70389        19.45950        19.41516        19.17552       -22.07348
        0.62000        19.91915        19.69286        19.69934        19.46260        19.41282        19.19408       -22.11473
        0.63000        19.92240        19.68989        19.69324        19.46962        19.40793        19.20989       -22.15548
        0.64000        19.92541        19.68689        19.68619        19.47789        19.39934        19.22239       -22.19574
        0.65000        19.92817        19.68389        19.67891        19.48853        19.38867        19.23291       -22.23552
        0.66000        19.93054        19.68093        19.67170        19.50055        19.37524        19.24229       -22.27481
        0.67000        19.93226        19.67802        19.66474        19.51385        19.36041        19.25036       -22.31362
        0.68000        19.93301        19.67527        19.65761        19.52630        19.34624        19.25761       -22.35197
        0.69000        19.93263        19.67270        19.65005        19.53661        19.33290        19.26376       -22.38985
        0.70000        19.93104        19.67035        19.64223        19.54449        19.32118        19.26879       -22.42727
        0.71000        19.92831        19.66819        19.63432        19.54922        19.31335        19.27293       -22.46424
        0.72000        19.92441        19.66617        19.62629        19.55154        19.31069        19.27546       -22.50076
        0.73000        19.91940        19.66423        19.61818        19.55301        19.31121        19.27589       -22.53684
        0.74000        19.91343        19.66233        19.61016        19.55531        19.31268        19.27599       -22.57249
        0.75000        19.90678        19.66042        19.60243        19.55888        19.31392        19.27567       -22.60770
        0.76000        19.89965        19.65844        19.59555        19.55897        19.31416        19.27625       -22.64249
        0.77000        19.89221        19.65638        19.58932        19.55663        19.31321        19.27584       -22.67686
        0.78000        19.88460        19.65424        19.58355        19.55589        19.31154        19.27589       -22.71081
        0.79000        19.87692        19.65207        19.57784        19.55611        19.31056        19.27663       -22.74435
        0.80000        19.86933        19.64992        19.57253        19.55616        19.30846        19.27828       -22.77749
        0.81000        19.86192        19.64785        19.56753        19.55551        19.30572        19.27954       -22.81022
        0.82000        19.85477        19.64595        19.56270        19.55475        19.30550        19.27713       -22.84256
        0.83000        19.84793        19.64429        19.55794        19.55295        19.30881        19.26970       -22.87450
        0.84000        19.84144        19.64291        19.55313        19.55077        19.31488        19.25832       -22.90606
        0.85000        19.83530        19.64176        19.54832        19.54930        19.32376        19.24617       -22.93724
        0.86000        19.82944        19.64081        19.54339        19.54785        19.33143        19.23970       -22.96803
        0.87000        19.82379        19.64007        19.53852        19.54573        19.33840        19.22961       -22.99846
        0.88000        19.81830        19.63953        19.53358        19.54376        19.34635        19.21109       -23.02851
        0.89000        19.81294        19.63918        19.52838        19.54213        19.35512        19.19618       -23.05820
        0.90000        19.80772        19.63904        19.52301        19.54042        19.36452        19.17779       -23.08753
        0.91000        19.80263        19.63918        19.51741        19.53803        19.37466        19.16895       -23.11650
        0.92000        19.79763        19.63986        19.51133        19.53444        19.38421        19.16648       -23.14511
        0.93000        19.79266        19.64143        19.50451        19.52894        19.39037        19.16227       -23.17338
        0.94000        19.78770        19.64392        19.49704        19.52239        19.39408        19.16085       -23.20130
        0.95000        19.78271        19.64709        19.48914        19.51653        19.39667        19.16306       -23.22889
        0.96000        19.77768        19.65067        19.48118        19.51068        19.39928        19.16308       -23.25613
        0.97000        19.77273        19.65450        19.47331        19.50526        19.40188        19.16369       -23.28304
        0.98000        19.76806        19.65847        19.46570        19.49825        19.40460        19.16366       -23.30962
        0.99000        19.76405        19.66242        19.45859        19.49129        19.40776        19.16387       -23.33587
        1.00000        19.76106        19.66617        19.45215        19.48457        19.41124        19.16602       -23.36180
        1.01000        19.75932        19.66932        19.44659        19.47832        19.41499        19.16906       -23.38742
        1.02000        19.75878        19.67158        19.44190        19.47219        19.41890        19.17202       -23.41271
        1.03000        19.75924        19.67280        19.43828        19.46566        19.42327        19.17515       -23.43770
        1.04000        19.76049        19.67310        19.43545        19.46029        19.42763        19.18018       -23.46237
        1.05000        19.76237        19.67276        19.43306        19.45303        19.43174        19.18596       -23.48674
        1.06000        19.76469        19.67192        19.43097        19.44595        19.43557        19.19318       -23.51081
        1.07000        19.76709        19.67073        19.42907        19.43993        19.43822        19.20104       -23.53458
        1.08000        19.76937        19.66927        19.42750        19.43439        19.43937        19.20842       -23.55805
        1.09000        19.77144        19.66766        19.42623        19.42936        19.44001        19.21460       -23.58123
        1.10000        19.77306        19.66596        19.42520        19.42464        19.44146        19.21852       -23.60413
        1.11000        19.77390        19.66427        19.42432        19.41970        19.44382        19.22090       -23.62673
        1.12000        19.77360        19.66264        19.42353        19.41466        19.44650        19.22250       -23.64905
        1.13000        19.77203        19.66112        19.42288        19.40947        19.44912        19.22511       -23.67110
        1.14000        19.76927        19.65977        19.42229        19.40409        19.45134        19.23072       -23.69286
        1.15000        19.76548        19.65862        19.42175        19.39907        19.45224        19.23719       -23.71435
        1.16000        19.76110        19.65774        19.42118        19.39466        19.45109        19.24324       -23.73557
        1.17000        19.75651        19.65722        19.42055        19.39102        19.44835        19.24966       -23.75652
        1.18000        19.75199        19.65712        19.41988        19.38771        19.44462        19.25702       -23.77721
        1.19000        19.74762        19.65743        19.41916        19.38467        19.44042        19.26385       -23.79763
        1.20000        19.74346        19.65807        19.41830        19.38187        19.43543        19.27041       -23.81779
        1.21000        19.73954        19.65896        19.41718        19.37959        19.43037        19.27578       -23.83770
        1.22000        19.73590        19.66005        19.41589        19.37839        19.42565        19.28016       -23.85735
        1.23000        19.73253        19.66132        19.41456        19.37683        19.42168        19.28452       -23.87675
        1.24000        19.72943        19.66271        19.41322        19.37503        19.41826        19.28854       -23.89590
        1.25000        19.72658        19.66419        19.41174        19.37377        19.41514        19.29261       -23.91480
        1.26000        19.72393        19.66569        19.41020        19.37299        19.41225        19.29738       -23.93345
        1.27000        19.72149        19.66719        19.40886        19.37257        19.40921        19.30302       -23.95187
        1.28000        19.71923        19.66869        19.40790        19.37212        19.40572        19.30891       -23.97005
        1.29000        19.71710        19.67018        19.40741        19.37138        19.40199        19.31442       -23.98799
        1.30000        19.71512        19.67169        19.40738        19.37077        19.39827        19.31968       -24.00569
        1.31000        19.71326        19.67322        19.40775        19.37027        19.39459        19.32438       -24.02316
        1.32000        19.71157        19.67477        19.40848        19.36971        19.39107        19.32869       -24.04041
        1.33000        19.71004        19.67634        19.40954        19.36902        19.38742        19.33253       -24.05742
        1.34000        19.70866        19.67790        19.41091        19.36822        19.38367        19.33600       -24.07421
        1.35000        19.70745        19.67944        19.41250        19.36765        19.38018        19.33895       -24.09078
        1.36000        19.70648        19.68096        19.41428        19.36748        19.37667        19.34086       -24.10713
        1.37000        19.70579        19.68245        19.41637        19.36761        19.37323        19.34164       -24.12326
        1.38000        19.70548        19.68390        19.41880        19.36794        19.37019        19.34265       -24.13917
        1.39000        19.70559        19.68530        19.42160        19.36794        19.36750        19.34399       -24.15487
        1.40000        19.70618        19.68661        19.42487        19.36737        19.36518        19.34521       -24.17036
        1.41000        19.70730        19.68781        19.42882        19.36624        19.36300        19.34725       -24.18563
        1.42000        19.70894        19.68889        19.43382        19.36442        19.36048        19.34833       -24.20070
        1.43000        19.71114        19.68983        19.44019        19.36174        19.35813        19.34790       -24.21557
        1.44000        19.71400        19.69062        19.44796        19.35775        19.35650        19.34787       -24.23023
        1.45000        19.71776        19.69127        19.45690        19.35298        19.35532        19.34663       -24.24469
        1.46000        19.72269        19.69178        19.46608        19.34798        19.35457        19.34457       -24.25894
        1.47000        19.72890        19.69219        19.47489        19.34291        19.35390        19.34255       -24.27301
        1.48000        19.73654        19.69252        19.48378        19.33811        19.35345        19.34045       -24.28687
        1.49000        19.74550        19.69275        19.49285        19.33384        19.35295        19.33848       -24.30054
        1.50000        19.75546        19.69283        19.50174        19.33045        19.35242        19.33768       -24.31402
        1.51000        19.76617        19.69274        19.50995        19.32824        19.35145        19.33662       -24.32731
        1.52000        19.77749        19.69248        19.51726        19.32764        19.35026        19.33472       -24.34042
        1.53000        19.78927        19.69205        19.52366        19.32881        19.34903        19.33429       -24.35333
        1.54000        19.80141        19.69145        19.52940        19.33123        19.34796        19.33303       -24.36606
