# Redshift u-g g-r r-i i-z z-y y-Y Y-J J-H H-W1 W1-W2
0.2000 nan nan nan nan nan nan nan nan nan nan
0.2500 nan nan nan nan nan nan nan nan nan nan
0.3000 nan nan nan nan nan nan nan nan nan nan
0.3500 nan nan nan nan nan nan nan nan nan nan
0.4000 nan nan nan nan nan nan nan nan nan nan
0.4500 nan nan nan nan nan nan nan nan nan nan
0.5000 nan nan nan nan nan nan nan nan nan nan
0.5500 nan nan nan nan nan nan nan nan nan nan
0.6000 nan nan nan nan nan nan nan nan nan nan
0.6500 nan nan nan nan nan nan nan nan nan nan
0.7000 0.3572 0.0794 0.1992 0.2121 0.0611 0.2797 0.1059 0.3504 3.3439 0.7794
0.7500 0.3362 0.1020 0.1278 0.2537 0.0336 0.2876 0.0924 0.3504 3.3656 0.7911
0.8000 0.3024 0.1218 0.0693 0.2954 -0.0111 0.3055 0.1666 0.2553 3.3927 0.8046
0.8500 0.2675 0.1340 0.0342 0.2976 0.0070 0.2260 0.2380 0.2175 3.4254 0.8197
0.9000 0.2306 0.1518 0.0151 0.2460 0.1130 0.0493 0.3457 0.1940 3.4511 0.8362
0.9500 0.1817 0.1953 0.0031 0.1736 0.1814 0.0243 0.3398 0.1694 3.4746 0.8545
1.0000 0.1227 0.2578 -0.0127 0.1203 0.2162 0.0238 0.3272 0.1405 3.4894 0.8783
1.0500 0.1064 0.2871 -0.0095 0.0626 0.2383 0.0234 0.3271 0.1247 3.4821 0.9124
1.1000 0.1102 0.2861 0.0131 0.0070 0.2272 0.0533 0.3123 0.1142 3.4830 0.9413
1.1500 0.0858 0.2798 0.0364 -0.0379 0.2136 0.0778 0.3008 0.1010 3.4806 0.9718
1.2000 0.0414 0.2816 0.0489 -0.0393 0.1494 0.1268 0.2887 0.0839 3.4701 1.0091
1.2500 0.0009 0.2934 0.0478 -0.0278 0.0995 0.1460 0.2858 0.0757 3.4480 1.0435
1.3000 -0.0330 0.3043 0.0427 -0.0155 0.0534 0.1593 0.2820 0.0965 3.4039 1.0720
1.3500 -0.0591 0.3045 0.0500 0.0059 0.0047 0.1812 0.2820 0.1996 3.2841 1.0873
1.4000 -0.0734 0.2941 0.0634 0.0248 -0.0289 0.1875 0.2155 0.2747 3.2506 1.1057
1.4500 -0.0661 0.2581 0.1167 0.0196 -0.0400 0.1725 0.1938 0.3269 3.2405 1.1091
1.5000 -0.0163 0.2020 0.1941 -0.0028 -0.0314 0.1331 0.2171 0.3404 3.2346 1.1112
1.5500 0.0674 0.1522 0.2298 0.0036 -0.0264 0.0956 0.2504 0.3470 3.2310 1.1086
1.6000 0.1575 0.1119 0.2369 0.0243 -0.0221 0.0836 0.2629 0.3522 3.2397 1.0966
1.6500 0.1922 0.0763 0.2468 0.0264 -0.0061 0.0551 0.2658 0.3565 3.2415 1.0937
1.7000 0.1502 0.0477 0.2584 0.0159 0.0185 0.0201 0.2657 0.3458 3.2406 1.0917
1.7500 0.0874 0.0261 0.2749 0.0093 0.0329 0.0081 0.2566 0.3480 3.2444 1.0808
1.8000 0.0452 0.0067 0.2909 0.0084 0.0415 -0.0049 0.2453 0.3512 3.2407 1.0672
1.8500 0.0130 0.0021 0.2920 0.0113 0.0483 -0.0234 0.2179 0.3356 3.2130 1.0678
1.9000 -0.0200 0.0175 0.2594 0.0541 0.0318 -0.0343 0.1582 0.3017 3.1442 1.0841
1.9500 -0.0533 0.0370 0.2094 0.1357 -0.0053 -0.0282 0.1329 0.2947 3.1325 1.0734
2.0000 -0.0797 0.0440 0.1811 0.1874 -0.0370 -0.0158 0.1088 0.2796 3.1292 1.0629
2.0500 -0.0942 0.0458 0.1671 0.2071 -0.0553 0.0036 0.0856 0.1913 3.1802 1.0492
