# Redshift u-g g-r r-i i-z z-y y-Y Y-J J-H H-W1 W1-W2
0.2000 nan nan nan nan nan nan nan nan nan nan
0.2500 nan nan nan nan nan nan nan nan nan nan
0.3000 nan nan nan nan nan nan nan nan nan nan
0.3500 nan nan nan nan nan nan nan nan nan nan
0.4000 nan nan nan nan nan nan nan nan nan nan
0.4500 nan nan nan nan nan nan nan nan nan nan
0.5000 nan nan nan nan nan nan nan nan nan nan
0.5500 nan nan nan nan nan nan nan nan nan nan
0.6000 nan nan nan nan nan nan nan nan nan nan
0.6500 nan nan nan nan nan nan nan nan nan nan
0.7000 nan nan nan nan nan nan nan nan nan nan
0.7500 nan nan nan nan nan nan nan nan nan nan
0.8000 nan nan nan nan nan nan nan nan nan nan
0.8500 nan nan nan nan nan nan nan nan nan nan
0.9000 nan nan nan nan nan nan nan nan nan nan
0.9500 nan nan nan nan nan nan nan nan nan nan
1.0000 0.3877 0.5019 0.1744 0.2972 0.3121 0.1050 0.4023 0.2450 3.4556 0.7950
1.0500 0.3634 0.5341 0.1677 0.2429 0.3478 0.1020 0.4118 0.2325 3.4609 0.8286
1.1000 0.3590 0.5372 0.1892 0.1763 0.3513 0.1311 0.4071 0.2254 3.4732 0.8587
1.1500 0.3265 0.5347 0.2139 0.1199 0.3417 0.1628 0.4062 0.2145 3.4827 0.8908
1.2000 0.2732 0.5396 0.2269 0.1077 0.2828 0.2145 0.4075 0.1991 3.4836 0.9296
1.2500 0.2239 0.5540 0.2261 0.1081 0.2385 0.2375 0.4152 0.1930 3.4737 0.9659
1.3000 0.1814 0.5676 0.2213 0.1096 0.1999 0.2532 0.4200 0.2106 3.4468 0.9963
1.3500 0.1480 0.5699 0.2292 0.1293 0.1469 0.2852 0.4258 0.2934 3.3588 1.0147
1.4000 0.1280 0.5611 0.2425 0.1491 0.1013 0.3041 0.3738 0.3607 3.3373 1.0362
1.4500 0.1313 0.5255 0.2950 0.1482 0.0815 0.2999 0.3662 0.4077 3.3359 1.0433
1.5000 0.1803 0.4681 0.3702 0.1325 0.0815 0.2683 0.4005 0.4223 3.3372 1.0496
1.5500 0.2657 0.4169 0.4069 0.1404 0.0827 0.2347 0.4440 0.4338 3.3397 1.0506
1.6000 0.3606 0.3747 0.4168 0.1627 0.0832 0.2229 0.4680 0.4447 3.3531 1.0430
1.6500 0.4020 0.3363 0.4285 0.1657 0.0976 0.1887 0.4819 0.4557 3.3623 1.0435
1.7000 0.3679 0.3037 0.4414 0.1556 0.1187 0.1462 0.4902 0.4549 3.3712 1.0442
1.7500 0.3137 0.2759 0.4603 0.1496 0.1323 0.1280 0.4896 0.4670 3.3822 1.0364
1.8000 0.2783 0.2495 0.4787 0.1474 0.1434 0.1080 0.4855 0.4796 3.3858 1.0262
1.8500 0.2502 0.2376 0.4835 0.1465 0.1505 0.0834 0.4579 0.4749 3.3712 1.0281
1.9000 0.2186 0.2460 0.4558 0.1829 0.1329 0.0639 0.3916 0.4514 3.3239 1.0439
1.9500 0.1856 0.2590 0.4086 0.2626 0.0998 0.0655 0.3680 0.4516 3.3227 1.0353
2.0000 0.1598 0.2594 0.3824 0.3148 0.0700 0.0724 0.3454 0.4455 3.3285 1.0265
2.0500 0.1455 0.2558 0.3697 0.3364 0.0506 0.0871 0.3209 0.3731 3.3817 1.0151
2.1000 0.1526 0.2552 0.3536 0.3492 0.0468 0.1005 0.3034 0.3135 3.4316 0.9988
2.1500 0.2035 0.2549 0.3318 0.3584 0.0525 0.1048 0.2816 0.3168 3.4159 0.9867
2.2000 0.3201 0.2474 0.3096 0.3650 0.0637 0.1114 0.2583 0.3191 3.4142 0.9719
